name,male,one_piece,naruto,demon_slayer,ninja,pirate,has_superpowers
Monkey D. Luffy,true,true,false,false,false,true,true
Roronoa Zoro,true,true,false,false,false,true,false
Nami,false,true,false,false,false,true,false
Naruto Uzumaki,true,false,true,false,true,false,true
Sasuke Uchiha,true,false,true,false,true,false,true
Sakura Haruno,false,false,true,false,true,false,true
Kakashi Hatake,true,false,true,false,true,false,true
Tanjiro Kamado,true,false,false,true,false,false,true
Nezuko Kamado,false,false,false,true,false,false,true
Shinobu Kocho,false,false,false,true,false,false,true
